form	lemma	POS	morph
སྐབས་	སྐབས་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་	མཁྱེན་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།།		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
སྐུ་	སྐུ་	NOUN
ཞེ་	ཅེས་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
ཡིན་	ཡིན་	NO_POS
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
ཀྱི་	གི་	PART
ཉོན་མོངས་པ་	ཉོན་མོངས་པ་	NOUN
མེད་པ་	མེད་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ལྟ་	ལྟ་	NOUN
།།		PUNCT
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
ཡོངས་	ཡོངས་	DET
སྤོང་	སྤོང་	VERB
ཉིད་	ཉིད་	DET
།།		PUNCT
གྲོང་	གྲོང་	NOUN
སོགས་	སོགས་	DET
སུ་	ལ་	PART
དེ་	དེ་	DET
འི་	གི་	PART
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
རྣམས་	རྣམས་	DET
།།		PUNCT
རྒྱུན་	རྒྱུན་	NOUN
གཅོད་	གཅོད་	NO_POS
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
མེད་	མེད་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
སྨོན་	སྨོན་	VERB
ན་	ནས་	PART
མཁྱེན་པ་	མཁྱེན་པ་	VERB
འི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
སྨོན་	སྨོན་	VERB
ན་	ནས་	PART
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ནི་	ནི་	NO_POS
།།		PUNCT
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
གྲུབ་	གྲུབ་	VERB
དང་	དང་	NO_POS
ཆགས་	ཆགས་	VERB
སྤངས་	སྤངས་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཐོགས་པ་	ཐོགས་པ་	VERB
མེད་	མེད་	VERB
དང་	དང་	NO_POS
རྟག་	རྟག་	VERB
གནས་	གནས་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
དྲི་བ་	དྲི་བ་	VERB
ཀུན་	ཀུན་	DET
ལན་	ལན་	NOUN
འདེབས་པ་	འདེབས་པ་	VERB
ར་	ལ་	PART
བཞེད་	བཞེད་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
རྒྱུ་	རྒྱུ་	NOUN
ནི་	ནི་	NO_POS
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
སྨིན་	སྨིན་	VERB
གྱུར་	གྱུར་	VERB
ན་	ནས་	PART
།།		PUNCT
གང་དང་གང་	གང་དང་གང་	NO_POS
ལ་	ལ་	PART
གང་	གང་	NO_POS
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
།།		PUNCT
གང་	གང་	NO_POS
ཚེ་	ཚེ་	NOUN
བྱ་བ་	བྱ་བ་	VERB
ཕན་	ཕན་	NOUN
གྱུར་པ་	གྱུར་པ་	VERB
།།		PUNCT
དེ་	སྟེ་	PART
དང་	དང་	NO_POS
དེ་	སྟེ་	PART
ལ་	ལ་	PART
དེ་	སྟེ་	PART
སྣང་ངོ་	སྣང་ངོ་	NOUN
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
ལྔ་པ་	ལྔ་པ་	NUM
མ་ངེས་པ་	མ་ངེས་པ་	NO_POS
སྤང་བ་	སྤང་བ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ལྷ་	ལྷ་	NOUN
ཡི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ས་	གིས་	PART
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
ཕབ་	ཕབ་	VERB
ཀྱང་	ཀྱང་	PART
།།		PUNCT
ས་བོན་	ས་བོན་	NOUN
མི་	མི་	PART
རུང་	རུང་	SCONJ
མི་	མི་	PART
འཁྲུངས་	འཁྲུངས་	NO_POS
ལྟ་	ལྟ་	OTHER
།།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
བྱུང་	བྱུང་	VERB
གྱུར་	གྱུར་	VERB
ཀྱང་	ཀྱང་	PART
།།		PUNCT
སྐལ་བ་	སྐལ་བ་	NOUN
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
བཟང་	བཟང་	VERB
མི་	མི་	PART
མྱོང་	མྱོང་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
དྲུག་པ་	དྲུག་པ་	NUM
ཁྱབ་པ་	ཁྱབ་པ་	VERB
དང་	དང་	NO_POS
རྟག་པ་	རྟག་པ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
མཛད་པ་	མཛད་པ་	VERB
རྒྱ་	རྒྱ་	NOUN
ཆེ་	ཆེ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཁྱབ་པ་	ཁྱབ་པ་	VERB
ར་	ལ་	PART
ངེས་པ་		
བརྗོད་	བརྗོད་	VERB
།།		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
ཟད་པ་	ཟད་པ་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
རྟག་པ་	རྟག་པ་	VERB
ཞེ་	ཅེས་	PART
ཀྱང་	ཀྱང་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
ཡིན་	ཡིན་	NO_POS
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
ལོངས་སྐུ་	ལོངས་སྐུ་	NOUN
ལ་	ལ་	PART
ལྔ་	ལྔ་	NUM
སྟེ་	སྟེ་	PART
།		PUNCT
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
།		PUNCT
མཚན་	མཚན་	NOUN
བཟང་པོ་	བཟང་པོ་	ADJ
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
ཇི་ལྟ་		
འགྲུབ་པ་	འགྲུབ་པ་	VERB
།		PUNCT
རྒྱུ་	རྒྱུ་	NOUN
མདོ་	མདོ་	NOUN
ལ་	ལ་	PART
སྦྱར་བ་	སྦྱར་བ་	VERB
།		PUNCT
དཔེ་བྱད་	དཔེ་བྱད་	NOUN
བཤད་པ་	བཤད་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
མཚན་	མཚན་	NOUN
ནི་	ནི་	NO_POS
སུམ་ཅུ་རྩ་གཉིས་	སུམ་ཅུ་རྩ་གཉིས་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
དཔེ་བྱད་	དཔེ་བྱད་	NOUN
བརྒྱད་ཅུ་	བརྒྱད་ཅུ་	NO_POS
འི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
འདི་	འདི་	DET
།།		PUNCT
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
ཉེ་བ་		
ལོངས་སྤྱོད་	ལོངས་སྤྱོད་	NOUN
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
ལོངས་སྤྱོད་	ལོངས་སྤྱོད་	NOUN
རྫོཌ་		NON_WORD
སྐུ་	སྐུ་	NOUN
བཞེད་	བཞེད་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
མཚན་	མཚན་	NOUN
བཟང་པོ་	བཟང་པོ་	ADJ
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཕྱག་	ཕྱག་	NOUN
ཞབས་	ཞབས་	NOUN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
མཚན་	མཚན་	NOUN
དང་རུ་	དང་རུ་	NO_POS
སྦལ་	སྦལ་	NO_POS
ཞབས་	ཞབས་	NOUN
།།		PUNCT
ཕྱག་	ཕྱག་	NOUN
དང་	དང་	NO_POS
ཞབས་	ཞབས་	NOUN
སོ་	སོ་	PART
ར་	ལ་	PART
དྲ་བ་	དྲ་བ་	OTHER
ས་	གིས་	PART
འབྲེལ་པ་	འབྲེལ་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཕྱག་	ཕྱག་	NOUN
ནི་	ནི་	NO_POS
ཞབས་	ཞབས་	NOUN
བཅའ་	བཅའ་	VERB
འཇམ་	འཇམ་	VERB
ཞིང་	ཅིང་	PART
གཞོན་ཤ་	གཞོན་ཤ་	NO_POS
ཆགས་	ཆགས་	VERB
།།		PUNCT
འདི་	འདི་	DET
ཡི་	གི་	PART
སྐུ་	སྐུ་	NOUN
ནི་	ནི་	NO_POS
བདུན་	བདུན་	NUM
དག་	དག་	DET
མཐོ་བ་	མཐོ་བ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
སོར་མོ་	སོར་མོ་	NOUN
རིང་	རིང་	NOUN
དང་	དང་	NO_POS
རྟིང་	རྟིང་	NO_POS
ཡངས་	ཡངས་	VERB
སྐུ་	སྐུ་	NOUN
ཆེ་	ཆེ་	VERB
དྲང་	དྲང་	VERB
།།		PUNCT
ཞབས་	ཞབས་	NOUN
འབུ་	འབུ་	NOUN
ར་	ལ་	PART
མི་	མི་	PART
མངོན་	མངོན་	VERB
སྤུ་	སྤུ་	NOUN
ནི་	ནི་	NO_POS
གྱེན་	གྱེན་	NOUN
དུ་	ལ་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
།།		PUNCT
བྱིན་པ་	བྱིན་པ་	VERB
ཨེ་	ཨེ་	PART
ན་	ལ་	PART
ཡ་	ཡ་	NOUN
འི་	གི་	PART
འདྲ་	འདྲ་	VERB
ཕྱག་	ཕྱག་	NOUN
རིང་	རིང་	NOUN
མཛེ་	མཛེ་	VERB
།།		PUNCT
མདོམས་	མདོམས་	NO_POS
ཀྱི་	གི་	PART
སྦ་བ་	སྦ་བ་	VERB
སྦུབས་	སྦུབས་	NOUN
སུ་	ལ་	PART
ནུབ་པ་	ནུབ་པ་	VERB
འི་	གི་	PART
མཆོག་	མཆོག་	ADJ
།		PUNCT
		
པགས་པ་	པགས་པ་	NOUN
གསེར་མདོག་	གསེར་མདོག་	OTHER
པགས་པ་	པགས་པ་	NOUN
སྲབ་པ་	སྲབ་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
སྤུ་	སྤུ་	NOUN
ནི་	ནི་	NO_POS
རེ་རེ་	རེ་རེ་	DET
ན་	ནས་	PART
གཡའ་	གཡའ་	NOUN
ལེགས་	ལེགས་	VERB
འཁྲུངས་	འཁྲུངས་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
ཞལ་	ཞལ་	NOUN
མཛོད་སྤུ་	མཛོད་སྤུ་	NO_POS
ས་	གིས་	PART
བརྒྱན་	བརྒྱན་	VERB
རོ་སྟོད་	རོ་སྟོད་	NOUN
སེང་གེ་	སེང་གེ་	NOUN
འདྲ་	འདྲ་	VERB
།།		PUNCT
འདི་	འདི་	DET
ཡི་	གི་	PART
དཔུང་པ་	དཔུང་པ་	NO_POS
འི་	གི་	PART
མགོ་ཟླུམ་	མགོ་ཟླུམ་	NO_POS
ཐལ་གོང་	ཐལ་གོང་	NO_POS
རྒྱ་	རྒྱ་	VERB
།།		PUNCT
		
འདི་	འདི་	DET
ལ་	ལ་	PART
རོ་	རོ་	NOUN
མི་	མི་	PART
ཞིམ་པ་	ཞིམ་པ་	VERB
རོ་མཆོག་	རོ་མཆོག་	NO_POS
སྣང་	སྣང་	VERB
།།		PUNCT
སྐུ་	སྐུ་	NOUN
ནི་	ནི་	NO_POS
ནྱ་གྲོ་	ནྱ་གྲོ་	NO_POS
དྷ་		NON_WORD
ལྟ་	ལྟ་	OTHER
ཆུ་ཞེང་	ཆུ་ཞེང་	NOUN
གབ་	གབ་	NO_POS
།།		PUNCT
གཙུག་ཏོར་	གཙུག་ཏོར་	PROPN
དབུ་	དབུ་	NOUN
ར་	ལ་	PART
ལྡན་	ལྡན་	VERB
ལྗགས་	ལྗགས་	NOUN
རིང་	རིང་	NOUN
མཛེས་པ་	མཛེས་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཚངས་དབྱངས་	ཚངས་དབྱངས་	NOUN
འགྲམ་པ་	འགྲམ་པ་	VERB
སེང་གེ་	སེང་གེ་	NOUN
འི་	གི་	PART
འདྲ་	འདྲ་	VERB
དང་	དང་	NO_POS
ཚེམས་	ཚེམས་	VERB
།།		PUNCT
		
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
དང་	དང་	NO_POS
ཚེད་		NON_WORD
མཉམ་	མཉམ་	VERB
ཐགས་	ཐགས་	NOUN
བཟང་	བཟང་	VERB
དང་	དང་	NO_POS
།།		PUNCT
གྲངས་	གྲངས་	NOUN
ནི་	ནི་	NO_POS
བཞི་	བཞི་	NUM
བཅུ་	བཅུ་	NUM
ཐམ་པ་	ཐམ་པ་	OTHER
ར་	ལ་	PART
ཚང་བ་	ཚང་བ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
སྤྱན་	སྤྱན་	NOUN
ནི་	ནི་	NO_POS
མཐོན་མཐིང་	མཐོན་མཐིང་	NOUN
སྤྱན་	སྤྱན་	NOUN
རྫི་བ་	རྫི་བ་	NO_POS
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
།		PUNCT
འདྲ་བ་	འདྲ་བ་	VERB
འདི་དག་	འདི་དག་	NO_POS
སུམ་ཅུ་རྩ་གཉིས་	སུམ་ཅུ་རྩ་གཉིས་	NO_POS
མཚན་	མཚན་	NOUN
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
ཇི་ལྟ་		
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	PART
མཚན་	མཚན་	NOUN
ནི་	ནི་	NO_POS
གང་	གང་	NO_POS
གང་	གང་	NO_POS
གིས་	གིས་	PART
།།		PUNCT
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
གང་ཡིན་	གང་ཡིན་	NO_POS
།།		PUNCT
དེ་	སྟེ་	PART
དང་	དང་	NO_POS
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
རབ་	རབ་	ADV
རྫོགས་པ་	རྫོགས་པ་	VERB
ས་	གིས་	PART
།།		PUNCT
མཚན་	མཚན་	NOUN
ནི་	ནི་	NO_POS
འདི་དག་	འདི་དག་	NO_POS
ཡང་དག་	ཡང་དག་	ADJ
འགྲུབ་	འགྲུབ་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
རྒྱུ་	རྒྱུ་	NOUN
མདོ་	མདོ་	NOUN
ལ་	ལ་	PART
སྦྱར་བ་	སྦྱར་བ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
སྐྱེལ་	སྐྱེལ་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
ཡང་དག་	ཡང་དག་	ADJ
བླངས་པ་	བླངས་པ་	VERB
བརྟན་པ་	བརྟན་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
བསྡུ་བ་	བསྡུ་བ་	VERB
བསྟེན་	བསྟེན་	VERB
དང་	དང་	NO_POS
གྱ་ནོམ་པ་	གྱ་ནོམ་པ་	ADJ
འི་	གི་	PART
།།		PUNCT
དངོས་པོ་	དངོས་པོ་	NOUN
སྦྱིན་	སྦྱིན་	VERB
དང་	དང་	NO_POS
གསད་	གསད་	NO_POS
བྱ་བ་	བྱ་བ་	VERB
།།		PUNCT
		
ཐར་བ་	ཐར་བ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
དང་	དང་	NO_POS
དགེ་བ་	དགེ་བ་	VERB
ནི་	ནི་	NO_POS
།།		PUNCT
ཡང་དག་	ཡང་དག་	ADJ
བླངས་པ་	བླངས་པ་	VERB
སྤེལ་	སྤེལ་	VERB
ལ་སོགས་	ལ་སོགས་	NO_POS
།།		PUNCT
སྒྲུབ་བྱེད་	སྒྲུབ་བྱེད་	NOUN
རྒྱུ་	རྒྱུ་	NOUN
ཡི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
དེ་	སྟེ་	PART
།།		PUNCT
མདོ་	མདོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཇི་སྐད་	ཇི་སྐད་	NO_POS
འབྱུང་བ་	འབྱུང་བ་	VERB
བཞིན་	བཞིན་	NOUN
།།		PUNCT
		
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
ལྔ་པ་	ལྔ་པ་	NUM
དཔེ་བྱད་	དཔེ་བྱད་	NOUN
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
སེན་མོ་	སེན་མོ་	NOUN
ཟངས་མདོག་	ཟངས་མདོག་	PROPN
དང་	དང་	NO_POS
།།		PUNCT
མདོག་	མདོག་	NOUN
སྣུམ་	སྣུམ་	NOUN
མཐོ་	མཐོ་	VERB
དང་	དང་	NO_POS
སོར་མོ་	སོར་མོ་	NOUN
རྣམས་	རྣམས་	DET
།།		PUNCT
ཟླུམ་	ཟླུམ་	NO_POS
རྒྱ་	རྒྱ་	VERB
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
ཕྲ་བ་	ཕྲ་བ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
རྩ་	རྩ་	NUM
མི་	མི་	PART
མངོན་	མངོན་	VERB
དང་	དང་	NO_POS
མདུད་པ་	མདུད་པ་	NOUN
མེད་	མེད་	VERB
།།		PUNCT
		
ལོང་བུ་	ལོང་བུ་	NO_POS
མི་	མི་	PART
མངོན་	མངོན་	VERB
ཞབས་	ཞབས་	NOUN
མཉམ་	མཉམ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
སེང་གེ་	སེང་གེ་	NOUN
གླང་ཆེན་	གླང་ཆེན་	NOUN
བྱ་	བྱ་	VERB
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
།།		PUNCT
ཁྱུ་མཆོག་	ཁྱུ་མཆོག་	NOUN
སྟབས་	སྟབས་	NOUN
གཤེགས་	གཤེགས་	VERB
གཡས་ཕྱོགས་	གཡས་ཕྱོགས་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
མཛེ་	མཛེ་	VERB
གཤེགས་	གཤེགས་	VERB
དྲང་	དྲང་	VERB
དང་	དང་	NO_POS
འཁྲིལ་བག་	འཁྲིལ་བག་	NO_POS
ཆགས་	ཆགས་	VERB
།།		PUNCT
		
བྱི་དོར་	བྱི་དོར་	NOUN
བྱ་	བྱ་	VERB
འདྲ་	འདྲ་	VERB
རིམ་པ་	རིམ་པ་	NOUN
ར་	ལ་	PART
འཚམ་	འཚམ་	NO_POS
།།		PUNCT
གཙང་	གཙང་	PROPN
དང་	དང་	NO_POS
འཇམ་	འཇམ་	VERB
དང་	དང་	NO_POS
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
།།		PUNCT
མཚན་	མཚན་	NOUN
ནི་	ནི་	NO_POS
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
རྫོགས་པ་	རྫོགས་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
སྐུ་	སྐུ་	NOUN
ཡི་	གི་	PART
ཁོ་ལག་	ཁོ་ལག་	NO_POS
ཡངས་	ཡངས་	VERB
ཤིང་	ཅིང་	PART
བཟང་	བཟང་	VERB
།།		PUNCT
		
གོམ་	གོམ་	NO_POS
སྙོམས་པ་	སྙོམས་པ་	VERB
དང་	དང་	NO_POS
སྤྱན་	སྤྱན་	NOUN
གཉིས་	གཉིས་	NUM
ནི་	ནི་	NO_POS
།།		PUNCT
དག་	དག་	DET
དང་	དང་	NO_POS
གཞོན་ཤ་	གཞོན་ཤ་	NO_POS
ཅན་	ཅན་	PART
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།།		PUNCT
སྐུ་	སྐུ་	NOUN
ཞུམ་	ཞུམ་	NO_POS
མེད་	མེད་	VERB
དང་	དང་	NO_POS
རྒྱས་པ་	རྒྱས་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
གྲིམས་པ་	གྲིམས་པ་	NON_WORD
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།།		PUNCT
		
ཡན་ལག་	ཡན་ལག་	NOUN
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
རྣམ་	རྣམ་	NOUN
འབྱེས་	འབྱེས་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
གཟིགས་པ་	གཟིགས་པ་	VERB
སྒྲིབ་	སྒྲིབ་	NOUN
མེད་	མེད་	VERB
དག་པ་	དག་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
དཀུ་	དཀུ་	VERB
ཟླུམ་	ཟླུམ་	NO_POS
སྐབས་	སྐབས་	NOUN
ཕྱིན་	ཕྱིན་	VERB
མ་	མ་	PART
རྙོངས་	རྙོངས་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
ཕྱང་ངེ་བ་	ཕྱང་ངེ་བ་	NO_POS
དང་	དང་	NO_POS
ལྟེ་བ་	ལྟེ་བ་	NOUN
ནི་	ནི་	NO_POS
།།		PUNCT
		
ཟབ་	ཟབ་	VERB
དང་	དང་	NO_POS
གཡས་ཕྱོགས་	གཡས་ཕྱོགས་	NOUN
འཁྱིལ་བ་	འཁྱིལ་བ་	NO_POS
དང་	དང་	NO_POS
།།		PUNCT
ཀུན་	ཀུན་	DET
ན་	ནས་	PART
བལྟ་	བལྟ་	VERB
ན་	ལ་	PART
སྡུག་པ་	སྡུག་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཀུན་སྤྱོད་	ཀུན་སྤྱོད་	NOUN
གཙང་	གཙང་	PROPN
དང་	དང་	NO_POS
སྐུ་	སྐུ་	NOUN
ལ་	ལ་	PART
ནི་	ནི་	NO_POS
།།		PUNCT
སྨེ་བ་	སྨེ་བ་	NOUN
གནག་བག་	གནག་བག་	NO_POS
མེད་པ་	མེད་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
ཕྱག་	ཕྱག་	NOUN
ནི་	ནི་	NO_POS
ཤིང་བལ་	ཤིང་བལ་	NOUN
ལྟ་	ལྟ་	OTHER
འཇམ་	འཇམ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
ཕྱག་རིས་	ཕྱག་རིས་	OTHER
མདངས་	མདངས་	NOUN
ཡོད་	ཡོད་	VERB
ཟབ་	ཟབ་	VERB
རིང་	རིང་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
ཞལ་	ཞལ་	NOUN
ནི་	ནི་	NO_POS
ཧ་ཅང་	ཧ་ཅང་	ADV
མི་	མི་	PART
རིང་	རིང་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
མཆུ་	མཆུ་	NOUN
ནི་	ནི་	NO_POS
བིམྤ་		NON_WORD
ལྟ་	ལྟ་	OTHER
དམར་	དམར་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
ལྗགས་	ལྗགས་	NOUN
མཉེན་པ་	མཉེན་པ་	NO_POS
དང་	དང་	NO_POS
སྲབ་པ་	སྲབ་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
དམར་	དམར་	VERB
དང་	དང་	NO_POS
འབྲུག་	འབྲུག་	NOUN
གི་	གི་	PART
སྒྲ་	སྒྲ་	NOUN
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།།		PUNCT
གསུང་	གསུང་	VERB
མཉེན་	མཉེན་	VERB
འཇམ་	འཇམ་	VERB
དང་	དང་	NO_POS
མཆེ་བ་	མཆེ་བ་	NOUN
ཟླུམ་	ཟླུམ་	NO_POS
།།		PUNCT
རྣོ་	རྣོ་	VERB
དང་	དང་	NO_POS
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
དང་	དང་	NO_POS
མཉམ་པ་	མཉམ་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
ཕྲ་	ཕྲ་	NOUN
དང་	དང་	NO_POS
ཤངས་	ཤངས་	PROPN
མཐོ་	མཐོ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
མཆོག་	མཆོག་	ADJ
ཏུ་	ལ་	PART
དག་པ་	དག་པ་	VERB
དག་	དག་	DET
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
།།		PUNCT
སྤྱན་	སྤྱན་	NOUN
ཡངས་པ་	ཡངས་པ་	ADJ
དང་	དང་	NO_POS
རྫི་མ་	རྫི་མ་	NOUN
སྟུག་	སྟུག་	NO_POS
།		PUNCT
པདྨ་	པདྨ་	NOUN
འི་	གི་	PART
འདབ་མ་	འདབ་མ་	NOUN
འདྲ་བ་	འདྲ་བ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
		
སྨིན་	སྨིན་	VERB
ཚུགས་རིང་	ཚུགས་རིང་	NO_POS
དང་	དང་	NO_POS
འཇམ་པ་	འཇམ་པ་	VERB
དང་	དང་	NO_POS
།།		PUNCT
སྣུམ་	སྣུམ་	NOUN
